Site,EAP Acc#,Provenience (field number),ID Catalog# (cat#=element or portion),Specimen Catalog# (cat#=organism),Cantryll Test# (test#=analyst sample number),Period,Date,ID,Element,Side,Description completeness,Age (modern only),Fusion,Cantryll notes,Scapula HS,Scapula DHA,Scapula Ld,Scapula SLC,Scapula ASG,Scapula GLP,Scapula LG,Scapula BG,Humerus GLC,Humerus GL,Humerus Bp,Humerus Dp,Humerus SD,Humerus Bd,Humerus Dd,Humerus BT,Humerus HT,Humerus HTC,Radius GL,Radius Bp,Radius Dp,Radius BFp,Radius SD,Radius Bd,Radius Dd,Ulna GL,Ulna LO,Ulna DPA,Ulna SDO,Metacarpal GL,Metacarpal Bp,Metacarpal Dp,Metacarpal SDt,Metacarpal SDs,Metacarpal Bd,Metacarpal Dd,Metacarpal BFd,Pelvis LAR,Pelvis LAR,Femur GL,Femur GLC,Femur Dp,Femur Bp,Femur SD,Femur Bd,Femur Dd,Tibia GL,Tibia Bp,Tibia Dp,Tibia SD,Tibia Bd,Tibia Dd,Astragalus GLl,Astragalus GLm,Astragalus LLMc,Astraglus Bd,Astragalus Dl,Astragalus Dm,Astragalus Bp,Calcaneum GL,Calcaneum GB,Calcaneum GD,Calcaneum LB,Calcaneum LD,Metatarsal GL,Metatarsal Bp,Metatarsal Dp,Metatarsal SDt,Metatarsal SDs,Metatarsal Bd,Metatarsal Dd,Metatarsal BFd,Phalanx 1 GL,Phalanx 1 Bp,Phalanx 1 Dp,Phalanx 1 SDt,Phalanx 1 SDs,Phalanx 1 Bd,Phalanx 1 Dd,Phalanx 2 GL,Phalanx 2 Bp,Phalanx 2 Dp,Phalanx 2 SDt,Phalanx 2 SDs,Phalanx 2 Bd,Phalanx 2 Dd,,,,,,,,
La Joyanca,EAP0655,Ope. VE3D T6 B elem3 Niv2 (1801),,n/a,765LJ,Terminal Classic,950AD-1050AD,Odocoileus virginianus,tibia,L,almost complete,,fused proximal epiphysis but line visible,"Line # 319 tibia almost complete broken in half GL is a refit, proximal epiphyseal line is fused but visible.  Distal end is severally weathered, all landmarks are present.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,47.7,52.13,15.76,29.43,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T6 6F26(676),,n/a,752LJ,Late Classic,650-750 AD,Artidactyla,1st phalanx,R,distal .8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.32,,11.68,10.18,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T6 6F26(676),,n/a,753LJ,Late Classic,650-750 AD,Artidactyla,1st phalanx,R,almost complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.54,,9.3,,10.44,10.03,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 130 VE3D T6B Niv2 Elem1,,n/a,769LJ,Terminal Classic,950AD-1050AD,Odocoileus virginianus,1st phalanx,R,complete,,,Line # 295a Phalange 1 complete all landmarks present two 1rst phalange in a small bag 295a is larger than 295b both appear to be rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.02,13.32,17.27,9.45,,11.8,10.12,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 130 VE3D T6B Niv2 Elem1,,n/a,770LJ,Terminal Classic,950AD-1050AD,Odocoileus virginianus,1st phalanx,R,complete,,,Line # 295b Phalange 1 complete all landmarks present.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.74,11.89,15.17,9.31,,9.85,9.77,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T9 6F11,,n/a,713LJ,Terminal Classic,950AD-1050AD,Odocoileus virginianus,1st phalanx,R,complete,,,Line # 69 Phalanx all landmarks are available.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.23,14.1,16.79,10.06,,10.27,10.17,,,,,,,,,,,,,,,
La Joyanca,EAP0655,OPE 122 Est. E69 T-2 Cuadro 1 Niv 2 804,,n/a,704LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,1st phalanx,R,complete,,,"Line # 221: phalanx 1 complete, slight erosion on the distal articular edges, Bd not available.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.18,12.78,16.99,9.62,,,10.14,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Op.130 VE 5D-3 T6C Niv. 3 (1807),,n/a,778LJ,Terminal Classic,950AD-1050AD,Odocoileus virginianus,1st phalanx,R,complete,,,Line # 331 phalange 1 complete surface weathered small spot of charring at distal articulation all landmarks are present.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.68,12.51,15.08,9.79,,11.2,9.83,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Op 124 T5 6F11(2631),,n/a,757LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,astragalus,R,complete,,,Line # 90 astragalus charred from medial surface to the constriction.  Lateral surface shows minor erosion. All land marks present.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.28,37.14,32.68,24.48,22.21,20.24,22.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T9 6F11,,n/a,715LJ,Terminal Classic,950AD-1050AD,Odocoileus virginianus,calcaneum,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.56,28.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. VE3D T6B elem.3 Niv.2 (1801),,n/a,766LJ,Terminal Classic,950AD-1050AD,Odocoileus virginianus,calcaneum,R,articulation .5,,,Line # 315 calcaneus superior crest is broken off and missing no GL available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.34,25.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Op.130 VE 5D-3 T6B Niv. 2 Elem 3 (1801),,n/a,767LJ,Terminal Classic,950AD-1050AD,Odocoileus virginianus,calcaneum,R,complete,,,Line # 314 calcaneus complete all landmarks are present.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5,23.42,28.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Op 130 VE 5D-3 T6B Niv 2 elem 3 (1801),,n/a,783LJ,Terminal Classic,950AD-1050AD,Odocoileus virginianus,calcaneum,R,complete,,,Line # 318 calcaneus complete all landmarks are present.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.4,20.04,24.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Op.130 VE3D T6B Niv. 2 Elem 1 (1801),,n/a,773LJ,Terminal Classic,950AD-1050AD,Odocoileus virginianus,humerus,R,distal 70%,,,Line # 277 humerus distal condyles and shaft 70% shaft is severely weathered SD not advisable.,,,,,,,,,,,,,,36.19,34.44,32.7,24.09,19.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T27-3 (2628),,n/a,723LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,metacarpal,R,proximal 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.24,17.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 130 (1242),,n/a,786LJ,Terminal Classic,950AD-1050AD,Mazama americanus,metatarsal,R,distal .8,,,Line # 361 metarsal Mazama 85% distal shaft and condyles. Condyles too eroded for the BFd. The SD on this sample was nearer the distal end of the shaft and on the transverse plan.  In WTD it is typically closer to the proximal end and on the sagittal plane.  The difference could be a function of gait and species habitat.  It is however impossible to be certain as the bone is incomplete.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.81,,15.89,10.18,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T5 6F11 Basurero gris (2631),,n/a,716LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,metatarsal,R,proximal 0.5,,,"Line # 84 metatarsal proximal end and 50% of the shaft Bp, Dp, and SD taken. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,23.21,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,OPE 122 6E5 T-3-19-2 1106,,n/a,710LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,radius,R,proximal 0.4,,,"Line #234 proximal end of radius Bp, Dp, BFp, and SD taken.",,,,,,,,,,,,,,,,,,,,32.52,19.22,30.15,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,OPE122E6-6 T-1-6-2 832 (197),,n/a,711LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,tibia,R,distal articulation 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.34,21.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T27-3 (2628),,n/a,722LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,ulna,R,proximal0.2,,,Line # 176 ulna broken DPA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 130 VE3D T6B Niv 2 element 1 (1801),,n/a,787LJ,Terminal Classic,950AD-1050AD,Mazama sp.,radius,R ,proximal .3,,,,,,,,,,,,,,,,,,,,,,,20.91,13.16,19.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T5 6F11 Basurero gris (2631),,n/a,717LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,1st phalanx,,almost complete,,,"Line # 85a phalanx1 described as almost complete, missing chip at proximal end Bp could not be taken all other landmarks were recorded.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.68,,17.66,9.88,,10.68,10.81,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T5 6F11 Basurero gris (2631),,n/a,718LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,1st phalanx,,complete,,,Line # 85b phalanx 1 same bag as 85a same provenance all landmarks present and recorded.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.54,13.69,17.69,,9.45,11.27,10.42,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T27-3 (2628),,n/a,727LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,1st phalanx,,complete,,,Line # 125 phalanx all landmarks present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,12.98,17.32,9.7,,10.13,9.71,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T27-3 (2628),,n/a,728LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,1st phalanx,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.34,12.93,17.33,9.67,,10.98,10.02,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T6 6F26(676),,n/a,754LJ,Late Classic,650-750 AD,Artidactyla,2nd phalanx,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,12.5,16.76,12.27,,9.74,12.88,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T6 6F26(676),,n/a,755LJ,Late Classic,650-750 AD,Artidactyla,2nd phalanx,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.89,12.71,17.74,9.56,,9.8,13.03,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T6 6F26(676),,n/a,756LJ,Late Classic,650-750 AD,Artidactyla,2nd phalanx,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.48,11.97,15.29,9.24,,9.13,13.94,,,,,,,,
La Joyanca,EAP0655,Ope. VE3D T6B4 niv.2 (1297),,n/a,761LJ,Terminal Classic+,950AD+,Odocoileus virginianus,2nd phalanx,,complete chared,,,Line # 345 2nd phalange complete charred all landmarks present.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.55,10.54,15.01,8.28,8.17,11.82,,,,,,,,,
La Joyanca,EAP0655,Op.130 VE3D T6B Niv. 2 Elem 3 (1801),,n/a,768LJ,Terminal Classic,950AD-1050AD,Odocoileus virginianus,2nd phalanx,,complete,,,Line # 297 1rst phalange complete all landmarks are present.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,13.44,17.33,,9.83,9.87,13.69,,,,,,,,
La Joyanca,EAP0655,Op 130 VE 5D-3 T6B Niv 2 elem 3 (1801),,n/a,782LJ,Terminal Classic,950AD-1050AD,Odocoileus virginianus,2nd phalanx,,complete,,,Line # 296 Phalange 2 complete all landmarks present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.77,12.54,16.52,,9.99,9.68,13.3,,,,,,,,
La Joyanca,EAP0655,OPE 122 1151,,n/a,709LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,2nd phalanx,,distal end 0.4,,,Line # 238 distal end of phalanx2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.94,11.43,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T5 6F11 Basurero gris (2631),,n/a,719LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,2nd phalanx,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.89,12.89,16.92,,9.83,9.43,13.76,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T27-3 (2628),,n/a,724LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,2nd phalanx,,complete,,,Line # 127a four phalanx2  in the same bag: all landmarks present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.98,12.01,16.24,,9.05,8.46,12.62,,,,,,,,
La Joyanca,EAP0655,,,n/a,725LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,2nd phalanx,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.52,12.15,15.56,,9.08,9,13.52,,,,,,,,
La Joyanca,EAP0655,,,n/a,726LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,2nd phalanx,,complete and black,,,Line # 127c all landmarks present and blackened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.33,12.39,17.51,,8.67,9.04,12.51,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T27-3 (2628),,n/a,743LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,2nd phalanx,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.39,11.56,16.07,8.71,,8.51,12.9,,,,,,,,
La Joyanca,EAP0655,Op.130 VE3D T6B Niv. 2 Elem 1 (1801),,n/a,771LJ,Terminal Classic,950AD-1050AD,Odocoileus virginianus,2nd phalanx,,complete charred,,,Line # 298 Phalange 2 complete all landmarks are present charred.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.63,12.82,17.72,,9.75,9.42,13.92,,,,,,,,
La Joyanca,EAP0655,Op.130 VE3D T6B Niv. 2 Elem 3 (1801),,n/a,703LJ,Terminal Classic,950AD-1050AD,Odocoileus virginianus,antler,,base and branch,,,Line # 262: antler base and pedical (robust) only wide enough for the measuring tape to go around once; no distal measurement available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
La Joyanca,EAP0655,Ope. 124 T6 6F26(676),,n/a,750LJ,Late Classic,650-750 AD,Cervidae,astragalus,,distal 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,OPE 222 (1464),,n/a,702LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,astragalus,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.59,,,22.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T27-3 (2628),,n/a,729LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,astragalus,,almost complete,,,Line # 159 astragalus 90% complete depth medial unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.32,32.66,30.15,21.83,,19.35,19.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T27-3 (2628),,n/a,730LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,astragalus,,complete,,,Line # 160 astragalus complete noticeably wider across the proximal breadth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.76,33.66,28.82,22.56,18.15,20.15,24.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T27-3 (2628),,n/a,731LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,astragalus,,complete,,,Line # 161 astragalus complete all landmarks are present.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.64,31.12,26.88,18.74,15.51,17.4,19.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope 124 1640,,n/a,735LJ,early Late Classic,600AD-750AD,Odocoileus virginianus,astragalus,,complete,,,"Line # 76 astragalus complete, all landmarks are present; significant weathering of cortical surface.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.47,32.49,28.87,20.84,17.57,17.96,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 1615,,n/a,736LJ,early Late Classic,600AD-750AD,Odocoileus virginianus,astragalus,,complete,,,Line # 75 astragalus complete all landmarks are present excellent preservation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.31,33.19,29.98,21.37,18.92,21.23,22.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T27 Niv. 2 entre 6F10-11 (2624),,n/a,737LJ,Terminal Classic,950AD-1050AD,Odocoileus virginianus,astragalus,,complete,,,Line # 199 astragalus complete all landmarks are present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.71,34.31,30.57,22.31,18.65,21.49,22.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T27 Niv. 2 entre 6F10-11 (2624),,n/a,738LJ,Terminal Classic,950AD-1050AD,Odocoileus virginianus,astragalus,,complete,,,Line # 200 astragalus 95% all landmarks are present.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.24,33.76,29.41,21.75,17.99,22.82,21.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T6 6F26(676),,n/a,750LJ,Late Classic,650-750 AD,Cervidae,calcaneum,,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.43,20.43,26.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T27-3 (2628),,n/a,733LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,calcaneum,,almost complete,,,Line # 165 calcaneus almost complete 80% no GL available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T27-3 (2628),,n/a,734LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,calcaneum,,articular surface .4,,,Line # 167 calcaneus 40% no GL available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.41,25.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T27 Niv. 3 Bolsa 2 (2628),,n/a,741LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,calcaneum,,complete,,,Line # 162 calacaneus complete all landmarks are available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.66,24.07,25.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,OPE 222 1410,,n/a,701LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,humerus,,,,,Line # 52: humerus proximal and distal ends are missing only SD could be measured.,,,,,,,,,,,,,13.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,OPE 122 T-3-35-1,,n/a,705LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,humerus,,distal 0.25,,,Line # 236 distal condyles of the humerus lateral edge of condyle is eroded; greatest breadth distal and breadth of the trochlea are unavailable.,,,,,,,,,,,,,,,30.79,,22.39,17.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T27 Niv. 3 Bolsa 2 (2628),,n/a,744LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,humerus,,shaft .7,,,Line # 106 humerus shaft only approx 70% SD only.,,,,,,,,,,,,,16.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T6 6F26 (641),,n/a,785LJ,mixed Early/Late Classic,250-850 AD,Mazama sp.,metacarpal,,distal .6,,,Line # NA [Ope. 124 T6 6F26 (641)] Mazama americanus metacarpal 60% complete trowel trauma sample does not appear on Kitty’s sheet greatest length is a refit—smallest diameter is a refit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.71,,,8.65,,10.01,15.09,17.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,OPE 222 1446,,n/a,700LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,metacarpal,,left distal condyle,,,"Line # 39: metacarpal with proximal articulation and most of the shaft GL, Bd, Dd, and BFd unavailable; the shaft was complete to the epiphysis line so the SD could be recorded.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.68,16.27,,,,11.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T5 6F11 Ext. este (2631),,n/a,720LJ,Terminal Classic,850AD-950AD,Odocoileus virginianus,metacarpal,,proximal 0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.52,19.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T27 Niv. 2 entre 6F10-11 (2624),,n/a,739LJ,Terminal Classic,950AD-1050AD,Odocoileus virginianus,metatarsal,,broken .8,,fused distal condyles,"Line # 192 metatarsal 80% complete trowel trauma shaft is broken into four pieces that fit together perfectly; proximal articulation is broken laterally, distal condyles are fully fused, epiphysis invisible. Bp, Dp, and SD are unavailable, GL is a refit and should not be used as statistical data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,,,26.74,17.33,27.06,,,,,,,,,,,,,,,,,,,,,,
La Joyanca,EAP0655,Ope. 124 T27 Niv. 2 entre 6F10-11 (2624),,n/a,746LJ,Terminal Classic,950AD-1050AD,Odocoileus virginianus,metatarsal,,proximal 0.7,,,"Line # 192 metatarsal four individuals in the bag only 194a was sufficiently intact for measurement. Bp, Dp and SD recorded the smallest diameter on these specimens seems slightly lower on the shaft than on the Florida deer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.63,23.81,15.13,,,,,,,,,,,,,,,,,,,,,,,,,,
